الاسم,الإجمالي,أحياء,متوفون,يحتاج_مراجعة,محمد,خلف,سعد,ناصر,زويّد بن محمد,لويحق بن محمد,سالم بن محمد,محمد بن خلف,عبدالله بن خلف,خلف بن خلف,ناصر بن سعد,علي بن سعد,سعود بن سعد,عبدالله بن ناصر,صقر بن ناصر,سعد بن ناصر,محمد بن ناصر,سعود بن ناصر
محمد,623,514,109,0,172,172,14,265,15,52,105,48,62,62,8,6,0,24,86,42,27,86
عبدالله,532,444,88,0,161,137,13,221,21,50,90,46,47,44,4,9,0,20,54,41,33,73
عبدالعزيز,361,318,43,0,102,88,5,166,6,34,62,17,18,53,3,2,0,24,45,36,6,55
سعود,308,266,42,0,109,63,12,124,22,27,60,18,32,13,6,5,1,11,36,20,23,34
سعد,257,204,53,0,71,62,13,111,0,17,54,18,23,21,8,5,0,13,35,29,18,16
عبدالرحمن,245,217,28,0,44,55,5,141,2,9,33,9,17,29,3,2,0,19,33,11,6,72
إبراهيم,196,166,29,1,41,71,0,84,1,23,17,7,27,37,0,0,0,2,4,38,3,37
خالد,183,175,8,0,41,64,2,76,4,10,27,30,19,15,1,1,0,6,27,13,12,18
ناصر,180,144,36,0,48,34,3,95,13,11,24,9,25,0,3,0,0,4,29,6,9,47
فهد,105,103,2,0,32,29,2,42,1,8,23,8,12,9,2,0,0,5,13,4,8,12
فيصل,101,99,2,0,32,24,2,43,1,8,23,8,7,9,1,1,0,5,8,7,10,13
سلطان,81,80,1,0,34,17,1,29,4,8,22,7,4,6,0,1,0,2,4,4,6,13
سليمان,74,64,10,0,30,4,6,34,3,3,24,2,0,2,1,5,0,2,6,4,1,21
صقر,68,53,14,1,6,8,0,54,0,4,2,8,0,0,0,0,0,1,46,2,0,5
نايف,64,63,1,0,27,12,1,24,3,9,15,2,5,5,1,0,0,3,12,1,1,7
نواف,62,60,1,1,18,13,0,31,1,4,13,2,6,5,0,0,0,3,5,8,2,13
عمر,50,49,1,0,22,7,0,21,1,6,15,3,1,3,0,0,0,2,6,2,6,5
بدر,47,46,1,0,14,6,1,26,4,3,7,1,3,2,0,1,0,0,9,1,5,11
تركي,44,44,0,0,13,8,0,23,1,7,5,0,4,4,0,0,0,1,4,8,3,7
أحمد,43,43,0,0,14,6,2,21,1,5,8,2,1,3,1,1,0,2,7,1,4,7
مشعل,38,37,1,0,12,8,2,16,1,3,8,3,3,2,2,0,0,3,3,2,2,6
سيف,37,28,9,0,16,1,1,19,0,3,13,1,0,0,1,0,0,0,5,2,2,10
